Team,Week 1,Team,Week 2,Team,Week 3,Team,Week 4,Team,Week 5,Team,Week 6,Team,Week 7,Team,Week 8,Team,Week 9,Team,Week 10,Team,Week 11,Team,Week 12,Team,Week 13,Team,Week 14,Team,Week 15,Team,Week 16
Air Force,0,Air Force,0,Air Force,0,Air Force,0,Air Force,0,Air Force,0,Air Force,0,Air Force,0,Air Force,0,Air Force,0,Air Force,0,Air Force,0,Air Force,0,Air Force,0,Air Force,0,Air Force,0
Akron,0,Akron,0,Akron,0,Akron,0,Akron,0,Akron,0,Akron,0,Akron,0,Akron,0,Akron,0,Akron,0,Akron,0,Akron,0,Akron,0,Akron,0,Akron,0
Alabama,1621,Alabama,1571,Alabama,1571,Alabama,1572,Alabama,1597,Alabama,1597,Alabama,1597,Alabama,1597,Alabama,1548,Alabama,1598,Alabama,1599,Alabama,1624,Alabama,1599,Alabama,1599,Alabama,1598,Alabama,1536
Appalachian State,16,Appalachian State,9,Appalachian State,12,Appalachian State,13,Appalachian State,25,Appalachian State,34,Appalachian State,38,Appalachian State,55,Appalachian State,78,Appalachian State,0,Appalachian State,2,Appalachian State,14,Appalachian State,18,Appalachian State,14,Appalachian State,32,Appalachian State,56
Arizona,2,Arizona,0,Arizona,0,Arizona,0,Arizona,0,Arizona,0,Arizona,0,Arizona,0,Arizona,0,Arizona,0,Arizona,0,Arizona,0,Arizona,0,Arizona,0,Arizona,0,Arizona,0
Arizona State,0,Arizona State,0,Arizona State,92,Arizona State,3,Arizona State,8,Arizona State,8,Arizona State,0,Arizona State,0,Arizona State,0,Arizona State,0,Arizona State,0,Arizona State,2,Arizona State,0,Arizona State,0,Arizona State,0,Arizona State,0
Arkansas,0,Arkansas,6,Arkansas,0,Arkansas,0,Arkansas,0,Arkansas,0,Arkansas,0,Arkansas,0,Arkansas,0,Arkansas,0,Arkansas,0,Arkansas,0,Arkansas,0,Arkansas,0,Arkansas,0,Arkansas,0
Arkansas State,19,Arkansas State,5,Arkansas State,1,Arkansas State,2,Arkansas State,3,Arkansas State,0,Arkansas State,0,Arkansas State,0,Arkansas State,0,Arkansas State,0,Arkansas State,0,Arkansas State,0,Arkansas State,0,Arkansas State,0,Arkansas State,0,Arkansas State,0
Army,1,Army,0,Army,0,Army,0,Army,4,Army,4,Army,1,Army,4,Army,8,Army,13,Army,34,Army,58,Army,97,Army,119,Army,114,Army,333
Auburn,1004,Auburn,1219,Auburn,1221,Auburn,921,Auburn,997,Auburn,1049,Auburn,357,Auburn,4,Auburn,13,Auburn,21,Auburn,106,Auburn,19,Auburn,20,Auburn,0,Auburn,0,Auburn,27
Ball State,0,Ball State,0,Ball State,0,Ball State,0,Ball State,0,Ball State,0,Ball State,0,Ball State,0,Ball State,0,Ball State,0,Ball State,0,Ball State,0,Ball State,0,Ball State,0,Ball State,0,Ball State,0
Baylor,0,Baylor,0,Baylor,0,Baylor,0,Baylor,0,Baylor,0,Baylor,0,Baylor,0,Baylor,0,Baylor,0,Baylor,0,Baylor,0,Baylor,0,Baylor,0,Baylor,0,Baylor,0
Boise State,261,Boise State,362,Boise State,507,Boise State,114,Boise State,145,Boise State,160,Boise State,6,Boise State,0,Boise State,0,Boise State,2,Boise State,12,Boise State,129,Boise State,297,Boise State,375,Boise State,122,Boise State,165
Boston College,23,Boston College,21,Boston College,37,Boston College,109,Boston College,8,Boston College,9,Boston College,0,Boston College,1,Boston College,0,Boston College,171,Boston College,580,Boston College,309,Boston College,22,Boston College,0,Boston College,0,Boston College,0
Bowling Green,0,Bowling Green,0,Bowling Green,0,Bowling Green,0,Bowling Green,0,Bowling Green,0,Bowling Green,0,Bowling Green,0,Bowling Green,0,Bowling Green,0,Bowling Green,0,Bowling Green,0,Bowling Green,0,Bowling Green,0,Bowling Green,0,Bowling Green,0
Buffalo,0,Buffalo,0,Buffalo,0,Buffalo,0,Buffalo,2,Buffalo,0,Buffalo,0,Buffalo,1,Buffalo,9,Buffalo,14,Buffalo,22,Buffalo,56,Buffalo,1,Buffalo,3,Buffalo,1,Buffalo,0
BYU,0,BYU,0,BYU,0,BYU,30,BYU,141,BYU,4,BYU,0,BYU,0,BYU,0,BYU,0,BYU,0,BYU,0,BYU,0,BYU,0,BYU,0,BYU,0
California,0,California,0,California,0,California,11,California,38,California,5,California,0,California,0,California,0,California,0,California,0,California,0,California,0,California,1,California,0,California,0
Central Michigan,0,Central Michigan,0,Central Michigan,0,Central Michigan,0,Central Michigan,0,Central Michigan,0,Central Michigan,0,Central Michigan,0,Central Michigan,0,Central Michigan,0,Central Michigan,0,Central Michigan,0,Central Michigan,0,Central Michigan,0,Central Michigan,0,Central Michigan,0
Charlotte,0,Charlotte,0,Charlotte,0,Charlotte,0,Charlotte,0,Charlotte,0,Charlotte,0,Charlotte,0,Charlotte,0,Charlotte,0,Charlotte,0,Charlotte,0,Charlotte,0,Charlotte,0,Charlotte,0,Charlotte,0
Cincinnati,0,Cincinnati,3,Cincinnati,11,Cincinnati,10,Cincinnati,22,Cincinnati,42,Cincinnati,133,Cincinnati,248,Cincinnati,30,Cincinnati,116,Cincinnati,207,Cincinnati,383,Cincinnati,74,Cincinnati,82,Cincinnati,62,Cincinnati,186
Clemson,1547,Clemson,1498,Clemson,1481,Clemson,1477,Clemson,1497,Clemson,1417,Clemson,1433,Clemson,1484,Clemson,1488,Clemson,1537,Clemson,1537,Clemson,1561,Clemson,1535,Clemson,1536,Clemson,1538,Clemson,1600
Coastal Carolina,0,Coastal Carolina,0,Coastal Carolina,0,Coastal Carolina,0,Coastal Carolina,0,Coastal Carolina,0,Coastal Carolina,0,Coastal Carolina,0,Coastal Carolina,0,Coastal Carolina,0,Coastal Carolina,0,Coastal Carolina,0,Coastal Carolina,0,Coastal Carolina,0,Coastal Carolina,0,Coastal Carolina,0
Colorado,0,Colorado,0,Colorado,20,Colorado,41,Colorado,73,Colorado,170,Colorado,513,Colorado,141,Colorado,9,Colorado,0,Colorado,0,Colorado,0,Colorado,0,Colorado,0,Colorado,0,Colorado,0
Colorado State,0,Colorado State,0,Colorado State,0,Colorado State,0,Colorado State,0,Colorado State,0,Colorado State,0,Colorado State,0,Colorado State,0,Colorado State,0,Colorado State,0,Colorado State,0,Colorado State,0,Colorado State,0,Colorado State,0,Colorado State,0
Connecticut,0,Connecticut,0,Connecticut,0,Connecticut,0,Connecticut,0,Connecticut,0,Connecticut,0,Connecticut,0,Connecticut,0,Connecticut,0,Connecticut,0,Connecticut,0,Connecticut,0,Connecticut,0,Connecticut,0,Connecticut,0
Duke,5,Duke,9,Duke,13,Duke,55,Duke,170,Duke,5,Duke,8,Duke,60,Duke,8,Duke,3,Duke,11,Duke,38,Duke,7,Duke,0,Duke,0,Duke,1
East Carolina,0,East Carolina,0,East Carolina,0,East Carolina,0,East Carolina,0,East Carolina,0,East Carolina,0,East Carolina,0,East Carolina,0,East Carolina,0,East Carolina,0,East Carolina,0,East Carolina,0,East Carolina,0,East Carolina,0,East Carolina,0
Eastern Michigan,0,Eastern Michigan,0,Eastern Michigan,0,Eastern Michigan,0,Eastern Michigan,0,Eastern Michigan,0,Eastern Michigan,0,Eastern Michigan,0,Eastern Michigan,0,Eastern Michigan,0,Eastern Michigan,0,Eastern Michigan,0,Eastern Michigan,0,Eastern Michigan,0,Eastern Michigan,0,Eastern Michigan,0
Florida,135,Florida,138,Florida,0,Florida,3,Florida,29,Florida,105,Florida,633,Florida,918,Florida,968,Florida,743,Florida,340,Florida,604,Florida,748,Florida,937,Florida,976,Florida,1192
Florida Atlantic,27,Florida Atlantic,0,Florida Atlantic,0,Florida Atlantic,0,Florida Atlantic,0,Florida Atlantic,0,Florida Atlantic,0,Florida Atlantic,0,Florida Atlantic,0,Florida Atlantic,0,Florida Atlantic,0,Florida Atlantic,0,Florida Atlantic,0,Florida Atlantic,0,Florida Atlantic,0,Florida Atlantic,0
Florida Intl,0,Florida Intl,0,Florida Intl,0,Florida Intl,0,Florida Intl,0,Florida Intl,0,Florida Intl,0,Florida Intl,0,Florida Intl,0,Florida Intl,6,Florida Intl,0,Florida Intl,0,Florida Intl,0,Florida Intl,0,Florida Intl,0,Florida Intl,0
Florida State,328,Florida State,46,Florida State,17,Florida State,0,Florida State,0,Florida State,0,Florida State,0,Florida State,0,Florida State,0,Florida State,0,Florida State,0,Florida State,0,Florida State,0,Florida State,0,Florida State,0,Florida State,0
Fresno State,4,Fresno State,7,Fresno State,0,Fresno State,1,Fresno State,0,Fresno State,1,Fresno State,1,Fresno State,6,Fresno State,22,Fresno State,191,Fresno State,490,Fresno State,64,Fresno State,119,Fresno State,157,Fresno State,357,Fresno State,497
Georgia,1452,Georgia,1414,Georgia,1437,Georgia,1436,Georgia,1473,Georgia,1490,Georgia,1496,Georgia,1163,Georgia,1207,Georgia,1295,Georgia,1347,Georgia,1369,Georgia,1347,Georgia,1398,Georgia,1316,Georgia,1147
Georgia Southern,0,Georgia Southern,0,Georgia Southern,0,Georgia Southern,0,Georgia Southern,0,Georgia Southern,0,Georgia Southern,0,Georgia Southern,0,Georgia Southern,2,Georgia Southern,32,Georgia Southern,0,Georgia Southern,0,Georgia Southern,1,Georgia Southern,1,Georgia Southern,1,Georgia Southern,7
Georgia State,0,Georgia State,0,Georgia State,0,Georgia State,0,Georgia State,0,Georgia State,0,Georgia State,0,Georgia State,0,Georgia State,0,Georgia State,0,Georgia State,0,Georgia State,0,Georgia State,10,Georgia State,0,Georgia State,0,Georgia State,0
Georgia Tech,0,Georgia Tech,1,Georgia Tech,0,Georgia Tech,0,Georgia Tech,0,Georgia Tech,0,Georgia Tech,0,Georgia Tech,0,Georgia Tech,0,Georgia Tech,0,Georgia Tech,0,Georgia Tech,0,Georgia Tech,0,Georgia Tech,0,Georgia Tech,0,Georgia Tech,0
Hawai'i,0,Hawai'i,4,Hawai'i,10,Hawai'i,0,Hawai'i,0,Hawai'i,0,Hawai'i,6,Hawai'i,0,Hawai'i,0,Hawai'i,0,Hawai'i,0,Hawai'i,0,Hawai'i,0,Hawai'i,0,Hawai'i,0,Hawai'i,0
Houston,2,Houston,4,Houston,46,Houston,2,Houston,0,Houston,0,Houston,0,Houston,7,Houston,30,Houston,380,Houston,41,Houston,0,Houston,0,Houston,0,Houston,0,Houston,0
Illinois,0,Illinois,0,Illinois,0,Illinois,0,Illinois,0,Illinois,0,Illinois,0,Illinois,0,Illinois,0,Illinois,0,Illinois,0,Illinois,0,Illinois,0,Illinois,0,Illinois,0,Illinois,0
Indiana,0,Indiana,0,Indiana,0,Indiana,0,Indiana,0,Indiana,0,Indiana,0,Indiana,0,Indiana,0,Indiana,0,Indiana,0,Indiana,0,Indiana,0,Indiana,0,Indiana,0,Indiana,0
Iowa,8,Iowa,9,Iowa,15,Iowa,36,Iowa,23,Iowa,23,Iowa,89,Iowa,218,Iowa,447,Iowa,356,Iowa,87,Iowa,0,Iowa,12,Iowa,20,Iowa,19,Iowa,102
Iowa State,8,Iowa State,6,Iowa State,0,Iowa State,0,Iowa State,0,Iowa State,0,Iowa State,0,Iowa State,3,Iowa State,0,Iowa State,6,Iowa State,151,Iowa State,403,Iowa State,85,Iowa State,103,Iowa State,87,Iowa State,29
Kansas,0,Kansas,0,Kansas,0,Kansas,0,Kansas,0,Kansas,0,Kansas,0,Kansas,0,Kansas,0,Kansas,0,Kansas,0,Kansas,0,Kansas,0,Kansas,0,Kansas,0,Kansas,0
Kansas State,35,Kansas State,4,Kansas State,0,Kansas State,0,Kansas State,0,Kansas State,0,Kansas State,0,Kansas State,0,Kansas State,0,Kansas State,0,Kansas State,0,Kansas State,0,Kansas State,0,Kansas State,0,Kansas State,0,Kansas State,0
Kent State,0,Kent State,0,Kent State,0,Kent State,0,Kent State,0,Kent State,0,Kent State,0,Kent State,0,Kent State,0,Kent State,0,Kent State,0,Kent State,0,Kent State,0,Kent State,0,Kent State,0,Kent State,0
Kentucky,8,Kentucky,13,Kentucky,34,Kentucky,98,Kentucky,531,Kentucky,690,Kentucky,381,Kentucky,589,Kentucky,689,Kentucky,932,Kentucky,761,Kentucky,318,Kentucky,502,Kentucky,634,Kentucky,696,Kentucky,945
Liberty,0,Liberty,0,Liberty,0,Liberty,0,Liberty,0,Liberty,0,Liberty,0,Liberty,0,Liberty,0,Liberty,0,Liberty,0,Liberty,0,Liberty,0,Liberty,0,Liberty,0,Liberty,0
Louisiana,0,Louisiana,0,Louisiana,0,Louisiana,0,Louisiana,0,Louisiana,0,Louisiana,0,Louisiana,0,Louisiana,0,Louisiana,0,Louisiana,0,Louisiana,0,Louisiana,0,Louisiana,0,Louisiana,0,Louisiana,0
Louisiana Monroe,0,Louisiana Monroe,0,Louisiana Monroe,0,Louisiana Monroe,0,Louisiana Monroe,0,Louisiana Monroe,0,Louisiana Monroe,0,Louisiana Monroe,0,Louisiana Monroe,0,Louisiana Monroe,0,Louisiana Monroe,0,Louisiana Monroe,0,Louisiana Monroe,0,Louisiana Monroe,0,Louisiana Monroe,0,Louisiana Monroe,0
Louisiana Tech,0,Louisiana Tech,0,Louisiana Tech,0,Louisiana Tech,0,Louisiana Tech,0,Louisiana Tech,2,Louisiana Tech,0,Louisiana Tech,0,Louisiana Tech,0,Louisiana Tech,0,Louisiana Tech,0,Louisiana Tech,0,Louisiana Tech,0,Louisiana Tech,0,Louisiana Tech,0,Louisiana Tech,0
Louisville,3,Louisville,0,Louisville,0,Louisville,0,Louisville,0,Louisville,0,Louisville,0,Louisville,0,Louisville,0,Louisville,0,Louisville,0,Louisville,0,Louisville,0,Louisville,0,Louisville,0,Louisville,0
LSU,254,LSU,724,LSU,850,LSU,1171,LSU,1234,LSU,1285,LSU,858,LSU,1303,LSU,1352,LSU,1403,LSU,1063,LSU,1078,LSU,1115,LSU,821,LSU,899,LSU,1186
Marshall,0,Marshall,0,Marshall,0,Marshall,0,Marshall,0,Marshall,0,Marshall,0,Marshall,0,Marshall,0,Marshall,0,Marshall,0,Marshall,0,Marshall,0,Marshall,0,Marshall,0,Marshall,0
Maryland,0,Maryland,2,Maryland,9,Maryland,0,Maryland,9,Maryland,14,Maryland,0,Maryland,0,Maryland,0,Maryland,0,Maryland,0,Maryland,0,Maryland,0,Maryland,0,Maryland,0,Maryland,0
Memphis,23,Memphis,27,Memphis,3,Memphis,0,Memphis,0,Memphis,0,Memphis,0,Memphis,0,Memphis,0,Memphis,0,Memphis,0,Memphis,0,Memphis,0,Memphis,6,Memphis,0,Memphis,0
Miami,1091,Miami,277,Miami,296,Miami,373,Miami,554,Miami,587,Miami,657,Miami,124,Miami,95,Miami,38,Miami,0,Miami,0,Miami,0,Miami,0,Miami,0,Miami,0
Miami (OH),0,Miami (OH),0,Miami (OH),0,Miami (OH),0,Miami (OH),0,Miami (OH),0,Miami (OH),0,Miami (OH),0,Miami (OH),0,Miami (OH),0,Miami (OH),0,Miami (OH),0,Miami (OH),0,Miami (OH),0,Miami (OH),0,Miami (OH),0
Michigan,752,Michigan,227,Michigan,270,Michigan,354,Michigan,603,Michigan,627,Michigan,846,Michigan,1149,Michigan,1228,Michigan,1295,Michigan,1390,Michigan,1415,Michigan,1387,Michigan,1041,Michigan,1122,Michigan,780
Michigan State,870,Michigan State,733,Michigan State,152,Michigan State,141,Michigan State,376,Michigan State,376,Michigan State,1,Michigan State,98,Michigan State,1,Michigan State,48,Michigan State,144,Michigan State,20,Michigan State,0,Michigan State,0,Michigan State,0,Michigan State,0
Middle Tennessee,0,Middle Tennessee,0,Middle Tennessee,0,Middle Tennessee,0,Middle Tennessee,0,Middle Tennessee,0,Middle Tennessee,0,Middle Tennessee,0,Middle Tennessee,0,Middle Tennessee,0,Middle Tennessee,0,Middle Tennessee,0,Middle Tennessee,0,Middle Tennessee,0,Middle Tennessee,0,Middle Tennessee,0
Minnesota,0,Minnesota,0,Minnesota,0,Minnesota,3,Minnesota,0,Minnesota,0,Minnesota,0,Minnesota,0,Minnesota,0,Minnesota,0,Minnesota,0,Minnesota,0,Minnesota,0,Minnesota,0,Minnesota,0,Minnesota,0
